PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
22,46,11,4,8,27,39,46
20,28,30,4,1,14,22,30
34,39,16,1,15,30,34,39
59,39,74,1,6,14,42,74
54,39,86,1,49,34,32,86
46,59,27,1,4,30,30,59
39,96,125,5,6,20,27,125
52,66,28,4,22,28,13,66
42,73,30,14,2,40,18,73
34,46,19,13,2,80,32,80
92,59,20,2,8,32,13,92
52,79,30,5,4,92,34,92
44,79,30,5,27,44,28,44
15,45,15,3,37,22,9,45
42,45,7,3,32,15,30,42
59,61,17,8,22,24,31,61
53,50,16,7,5,50,25,53
34,45,10,3,3,30,17,45
27,45,22,3,6,21,17,45
30,77,27,7,4,30,17,77
30,35,20,2,8,14,6,35
55,76,15,20,2,57,7,76
25,76,16,20,6,27,14,27
45,67,19,11,22,30,16,67
61,67,7,11,12,33,30,61
99,74,4,2,7,35,17,99
95,96,26,8,7,56,18,96
18,30,12,2,4,74,4,74
29,30,15,2,4,33,19,33
23,49,16,1,8,18,11,49
14,15,7,8,4,28,8,28
25,23,20,3,10,19,23,25
34,37,11,3,4,40,23,40
22,30,17,2,16,29,19,30
23,29,6,2,5,12,7,29
17,33,6,2,39,45,7,45
42,53,53,4,51,28,29,53
25,26,10,4,10,32,34,34
42,61,21,3,15,25,11,61
13,26,23,11,17,7,13,26
48,87,31,3,45,21,5,87
52,27,26,5,25,28,3,28
50,84,10,2,52,113,3,113
63,50,12,3,10,7,13,63
9,5,30,3,6,7,13,30
44,106,47,15,19,67,21,106
30,34,20,3,6,39,5,39
48,98,36,12,10,39,15,98
22,30,36,12,14,32,11,32
23,50,36,12,4,16,17,50
104,102,14,12,11,12,17,104
44,41,27,9,6,31,18,44
93,102,22,3,15,27,30,102
122,109,26,6,8,38,10,122
21,27,14,3,12,58,27,58
167,120,62,3,8,55,14,167
37,59,27,3,9,51,20,59
77,107,36,8,11,26,9,107
49,59,7,7,7,48,23,59
46,59,39,7,6,27,12,46
36,36,8,7,12,73,22,73
44,92,35,10,42,17,21,92
47,149,22,6,11,18,23,149
59,93,78,10,25,63,9,93
44,104,39,6,19,64,11,104
49,104,36,6,7,64,21,49
66,113,29,13,12,68,18,113
40,113,20,13,4,63,19,63
39,62,33,7,17,76,26,76
57,48,37,3,27,32,82,82
34,30,29,2,7,9,6,34
29,34,31,2,14,10,23,34
43,53,26,1,4,17,14,53
25,43,15,2,7,29,42,43
53,82,51,1,16,34,20,82
49,49,11,1,16,26,16,49
59,49,9,1,51,78,3,78
85,49,91,1,57,35,3,91
136,126,54,8,15,27,14,136
25,43,4,8,22,84,4,84
35,40,16,2,6,28,23,40
36,74,9,3,3,26,3,74
126,107,30,4,48,29,9,126
111,103,16,3,4,41,31,111
65,96,31,22,2,51,54,96
166,125,19,4,3,39,26,166
115,142,30,5,7,149,72,149
105,142,30,5,23,43,31,105
33,108,11,11,6,28,34,108
196,140,26,8,44,35,32,196
140,113,17,12,3,91,30,140
85,117,12,18,9,40,18,117
250,150,21,18,38,31,12,250
136,127,26,8,4,34,6,136
136,112,12,3,6,48,6,112
147,104,16,3,3,26,8,104
92,106,12,23,1,38,10,106
185,173,39,15,10,28,19,185
143,173,9,15,11,32,18,143
210,138,25,4,3,26,25,210
48,38,16,2,3,43,10,48
23,64,25,1,19,42,6,64
